scenario,metric,comparison_pair,condition_a,condition_b,test_type,statistic,p_value,p_value_adj_fdr,effect_size_cohen_d,ci_lower_95,ci_upper_95,n_pairs,caution_flag
grid_3_light,total_vehicles,signal_only_vs_baseline,signal_only,baseline,paired_ttest,2.9861063634713583,0.01529724641872895,0.0484895570170984,0.9442897444092114,17.2,73.4075,10,none
grid_3_light,total_vehicles,signal_only_vs_baseline,signal_only,baseline,wilcoxon_signed_rank,0.0,0.027707849358079864,0.0630107437178669,0.9442897444092114,17.2,73.4075,10,none
grid_3_light,total_vehicles,vsl_only_vs_baseline,vsl_only,baseline,paired_ttest,2.817541964207552,0.020127626599480447,0.05230008878812714,0.8909850010000476,13.8,72.61999999999998,10,none
grid_3_light,total_vehicles,vsl_only_vs_baseline,vsl_only,baseline,wilcoxon_signed_rank,0.0,0.04216819709715596,0.08325548344318,0.8909850010000476,13.8,72.61999999999998,10,none
grid_3_light,total_vehicles,routing_only_vs_baseline,routing_only,baseline,paired_ttest,-1.4999999999999998,0.16785065605707492,0.2816370558560658,-0.4743416490252569,-1.4,0.0,10,none
grid_3_light,total_vehicles,routing_only_vs_baseline,routing_only,baseline,wilcoxon_signed_rank,0.0,0.10247043485974937,0.1779331582060764,-0.4743416490252569,-1.4,0.0,10,none
grid_3_light,total_vehicles,signal_and_routing_vs_baseline,signal_and_routing,baseline,paired_ttest,15.454571982694446,8.702102547842821e-08,4.3317132682595375e-06,4.887164772833878,89.39750000000001,114.10249999999999,10,none
grid_3_light,total_vehicles,signal_and_routing_vs_baseline,signal_and_routing,baseline,wilcoxon_signed_rank,0.0,0.001953125,0.008413461538461538,4.887164772833878,89.39750000000001,114.10249999999999,10,none
grid_3_light,total_vehicles,signal_and_vsl_vs_baseline,signal_and_vsl,baseline,paired_ttest,23.229107858827323,1.2529830481670908e-08,2.8066820278942833e-06,7.743035952942441,148.77777777777777,175.0,9,use_with_caution_small_n
grid_3_light,total_vehicles,signal_and_vsl_vs_baseline,signal_and_vsl,baseline,wilcoxon_signed_rank,0.0,0.00390625,0.015217391304347827,7.743035952942441,148.77777777777777,175.0,9,use_with_caution_small_n
grid_3_light,total_vehicles,vsl_and_routing_vs_baseline,vsl_and_routing,baseline,paired_ttest,9.808213492639927,4.203094568307513e-06,7.242255256160638e-05,3.1016294413937318,82.9,121.2,10,none
grid_3_light,total_vehicles,vsl_and_routing_vs_baseline,vsl_and_routing,baseline,wilcoxon_signed_rank,0.0,0.001953125,0.008413461538461538,3.1016294413937318,82.9,121.2,10,none
grid_3_light,total_vehicles,combined_vs_baseline,combined,baseline,paired_ttest,2.9553062942480475,0.016081674655301588,0.0484895570170984,0.93454990732556,29.0,124.6,10,none
grid_3_light,total_vehicles,combined_vs_baseline,combined,baseline,wilcoxon_signed_rank,0.0,0.027707849358079864,0.0630107437178669,0.93454990732556,29.0,124.6,10,none
grid_3_light,total_vehicles,signal_and_routing_vs_signal_only,signal_and_routing,signal_only,paired_ttest,2.756827726437165,0.022227181284774234,0.05501534373247987,0.8717854732245031,19.1975,95.5025,10,none
grid_3_light,total_vehicles,signal_and_routing_vs_signal_only,signal_and_routing,signal_only,wilcoxon_signed_rank,14.0,0.193359375,0.31170173633918297,0.8717854732245031,19.1975,95.5025,10,none
grid_3_light,total_vehicles,signal_and_routing_vs_routing_only,signal_and_routing,routing_only,paired_ttest,15.793351176866942,7.204603173583912e-08,4.034577777206991e-06,4.994296160580031,89.7975,114.3025,10,none
grid_3_light,total_vehicles,signal_and_routing_vs_routing_only,signal_and_routing,routing_only,wilcoxon_signed_rank,0.0,0.001953125,0.008413461538461538,4.994296160580031,89.7975,114.3025,10,none
grid_3_light,total_vehicles,signal_and_routing_vs_combined,signal_and_routing,combined,paired_ttest,0.8567280261905411,0.4138243786864735,0.602496259261855,0.27092118980624985,-30.202499999999997,83.61499999999998,10,none
grid_3_light,total_vehicles,signal_and_routing_vs_combined,signal_and_routing,combined,wilcoxon_signed_rank,15.0,0.232421875,0.35416666666666663,0.27092118980624985,-30.202499999999997,83.61499999999998,10,none
grid_3_light,total_vehicles,signal_only_vs_vsl_only,signal_only,vsl_only,paired_ttest,0.44743399277595003,0.6651364280637748,0.9002450748416047,0.1414910519755327,-6.0049999999999955,9.4,10,none
grid_3_light,total_vehicles,signal_only_vs_vsl_only,signal_only,vsl_only,wilcoxon_signed_rank,9.0,0.7531523647659145,0.9953163994546599,0.1414910519755327,-6.0049999999999955,9.4,10,none
grid_3_light,total_vehicles,signal_only_vs_routing_only,signal_only,routing_only,paired_ttest,2.9809130122528535,0.015426706504152017,0.0484895570170984,0.9426474625552429,17.3,74.4,10,none
grid_3_light,total_vehicles,signal_only_vs_routing_only,signal_only,routing_only,wilcoxon_signed_rank,0.0,0.027707849358079864,0.0630107437178669,0.9426474625552429,17.3,74.4,10,none
grid_3_light,total_vehicles,vsl_only_vs_routing_only,vsl_only,routing_only,paired_ttest,2.8270537926252794,0.01981748091567046,0.05230008878812714,0.8939929052513212,14.3,73.61499999999998,10,none
grid_3_light,total_vehicles,vsl_only_vs_routing_only,vsl_only,routing_only,wilcoxon_signed_rank,0.0,0.043114446783075355,0.08325548344318,0.8939929052513212,14.3,73.61499999999998,10,none
grid_3_light,total_vehicles,combined_vs_signal_only,combined,signal_only,paired_ttest,2.8834485194825823,0.01807616461003217,0.049681728498738725,0.9118264837405357,11.1,50.51249999999999,10,none
grid_3_light,total_vehicles,combined_vs_signal_only,combined,signal_only,wilcoxon_signed_rank,0.0,0.043114446783075355,0.08325548344318,0.9118264837405357,11.1,50.51249999999999,10,none
grid_3_light,total_vehicles,combined_vs_vsl_only,combined,vsl_only,paired_ttest,2.7854004294230075,0.021212697367372357,0.05309099676303249,0.8808209552587787,10.797500000000003,52.71749999999999,10,none
grid_3_light,total_vehicles,combined_vs_vsl_only,combined,vsl_only,wilcoxon_signed_rank,0.0,0.027707849358079864,0.0630107437178669,0.8808209552587787,10.797500000000003,52.71749999999999,10,none
grid_3_light,total_vehicles,combined_vs_routing_only,combined,routing_only,paired_ttest,2.952237575596439,0.016162058358460154,0.0484895570170984,0.9335794932818278,29.0,125.0,10,none
grid_3_light,total_vehicles,combined_vs_routing_only,combined,routing_only,wilcoxon_signed_rank,0.0,0.027707849358079864,0.0630107437178669,0.9335794932818278,29.0,125.0,10,none
grid_3_light,avg_speed,signal_only_vs_baseline,signal_only,baseline,paired_ttest,-10.171020557296739,3.106653375762907e-06,6.031859096382807e-05,-3.216359108945282,-4.8256618890848,-3.3341919130377007,10,none
grid_3_light,avg_speed,signal_only_vs_baseline,signal_only,baseline,wilcoxon_signed_rank,0.0,0.001953125,0.008413461538461538,-3.216359108945282,-4.8256618890848,-3.3341919130377007,10,none
grid_3_light,avg_speed,vsl_only_vs_baseline,vsl_only,baseline,paired_ttest,-2.9294004402580085,0.01677335547812066,0.048795215936351014,-0.9263577569915316,-5.301487823491002,-1.1804758493560343,10,none
grid_3_light,avg_speed,vsl_only_vs_baseline,vsl_only,baseline,wilcoxon_signed_rank,0.0,0.043114446783075355,0.08325548344318,-0.9263577569915316,-5.301487823491002,-1.1804758493560343,10,none
grid_3_light,avg_speed,routing_only_vs_baseline,routing_only,baseline,paired_ttest,-1.386382272012861,0.1990091264371381,0.3195558732754046,-0.43841256872397516,-0.3259421345663339,0.004044947478695526,10,none
grid_3_light,avg_speed,routing_only_vs_baseline,routing_only,baseline,wilcoxon_signed_rank,2.0,0.13801073756865953,0.23598782607160101,-0.43841256872397516,-0.3259421345663339,0.004044947478695526,10,none
grid_3_light,avg_speed,signal_and_routing_vs_baseline,signal_and_routing,baseline,paired_ttest,-9.736615956814225,4.466434410750871e-06,7.410972651912556e-05,-3.0789883125872595,-8.164945323677658,-5.585743089994998,10,none
grid_3_light,avg_speed,signal_and_routing_vs_baseline,signal_and_routing,baseline,wilcoxon_signed_rank,0.0,0.001953125,0.008413461538461538,-3.0789883125872595,-8.164945323677658,-5.585743089994998,10,none
grid_3_light,avg_speed,signal_and_vsl_vs_baseline,signal_and_vsl,baseline,paired_ttest,-20.673885848935775,3.139375020238258e-08,2.8128800181334788e-06,-6.891295282978591,-9.004221193405291,-7.517787565866543,9,use_with_caution_small_n
grid_3_light,avg_speed,signal_and_vsl_vs_baseline,signal_and_vsl,baseline,wilcoxon_signed_rank,0.0,0.00390625,0.015217391304347827,-6.891295282978591,-9.004221193405291,-7.517787565866543,9,use_with_caution_small_n
grid_3_light,avg_speed,vsl_and_routing_vs_baseline,vsl_and_routing,baseline,paired_ttest,-16.61497185452227,4.6276781340497045e-08,3.455333006757113e-06,-5.254115431988216,-8.074959728150976,-6.443300327639504,10,none
grid_3_light,avg_speed,vsl_and_routing_vs_baseline,vsl_and_routing,baseline,wilcoxon_signed_rank,0.0,0.001953125,0.008413461538461538,-5.254115431988216,-8.074959728150976,-6.443300327639504,10,none
grid_3_light,avg_speed,combined_vs_baseline,combined,baseline,paired_ttest,-6.796572172515965,7.936007931692443e-05,0.0008888328883495536,-2.1492648346869303,-6.614480480606045,-3.7267199705041723,10,none
grid_3_light,avg_speed,combined_vs_baseline,combined,baseline,wilcoxon_signed_rank,0.0,0.001953125,0.008413461538461538,-2.1492648346869303,-6.614480480606045,-3.7267199705041723,10,none
grid_3_light,avg_speed,signal_and_routing_vs_signal_only,signal_and_routing,signal_only,paired_ttest,-2.8234247189883064,0.01993523298542815,0.05230008878812714,-0.8928452914023904,-4.689343826902672,-0.9597088864669688,10,none
grid_3_light,avg_speed,signal_and_routing_vs_signal_only,signal_and_routing,signal_only,wilcoxon_signed_rank,8.0,0.048828125,0.09229957805907173,-0.8928452914023904,-4.689343826902672,-0.9597088864669688,10,none
grid_3_light,avg_speed,signal_and_routing_vs_routing_only,signal_and_routing,routing_only,paired_ttest,-9.27573983903173,6.665858426561821e-06,9.954348583665653e-05,-2.933246487450387,-8.09303249267599,-5.438412514329873,10,none
grid_3_light,avg_speed,signal_and_routing_vs_routing_only,signal_and_routing,routing_only,wilcoxon_signed_rank,0.0,0.001953125,0.008413461538461538,-2.933246487450387,-8.09303249267599,-5.438412514329873,10,none
grid_3_light,avg_speed,signal_and_routing_vs_combined,signal_and_routing,combined,paired_ttest,-1.258125989881158,0.24000546132444836,0.36325150903159753,-0.39785437114784156,-4.271160363108464,0.7558202914689109,10,none
grid_3_light,avg_speed,signal_and_routing_vs_combined,signal_and_routing,combined,wilcoxon_signed_rank,15.0,0.232421875,0.35416666666666663,-0.39785437114784156,-4.271160363108464,0.7558202914689109,10,none
grid_3_light,avg_speed,signal_only_vs_vsl_only,signal_only,vsl_only,paired_ttest,-1.2174953050307074,0.2543735254232739,0.38241389056921715,-0.3850058204458492,-2.242449434725565,0.5133625851256471,10,none
grid_3_light,avg_speed,signal_only_vs_vsl_only,signal_only,vsl_only,wilcoxon_signed_rank,15.0,0.232421875,0.35416666666666663,-0.3850058204458492,-2.242449434725565,0.5133625851256471,10,none
grid_3_light,avg_speed,signal_only_vs_routing_only,signal_only,routing_only,paired_ttest,-11.253065096835345,1.3285814695783794e-06,3.0996948768592044e-05,-3.5585316364142923,-4.58076620504538,-3.2662993291638593,10,none
grid_3_light,avg_speed,signal_only_vs_routing_only,signal_only,routing_only,wilcoxon_signed_rank,0.0,0.001953125,0.008413461538461538,-3.5585316364142923,-4.58076620504538,-3.2662993291638593,10,none
grid_3_light,avg_speed,vsl_only_vs_routing_only,vsl_only,routing_only,paired_ttest,-2.9557247923765435,0.0160707441038092,0.0484895570170984,-0.9346822480538165,-5.032427642183887,-1.1517220565667443,10,none
grid_3_light,avg_speed,vsl_only_vs_routing_only,vsl_only,routing_only,wilcoxon_signed_rank,0.0,0.043114446783075355,0.08325548344318,-0.9346822480538165,-5.032427642183887,-1.1517220565667443,10,none
grid_3_light,avg_speed,combined_vs_signal_only,combined,signal_only,paired_ttest,-2.8905514202182605,0.017868213460029425,0.049681728498738725,-0.9140726181724186,-1.8085116740356633,-0.3852758315547896,10,none
grid_3_light,avg_speed,combined_vs_signal_only,combined,signal_only,wilcoxon_signed_rank,0.0,0.043114446783075355,0.08325548344318,-0.9140726181724186,-1.8085116740356633,-0.3852758315547896,10,none
